 	is01	is02	is03	predicted
Retention Indices				
tyrosine_466 M5	0.000902	0.000854	0.00079	0.001223
tyrosine_466 M6	0.000272	0.000616	0.000603	0.000185
tyrosine_466 M7	0.001698	0.001516	0.001603	2.30E-05
tyrosine_466 M8	0	0.001983	0	2.00E-06
tyrosine_466 M9	0	0	0	0
tyrosine_466 M10	0.664338	0.663686	0.664318	0
tyrosine_466 M11	0.206852	0.206106	0.206849	0
tyrosine_466 M12	0.098334	0.097499	0.09814	0
tyrosine_466 M13	0.020673	0.020777	0.020507	0
tyrosine_466 M14	0.004851	0.005013	0.005123	0
tyrosine_466 M15	0.000871	0.000694	0.000799	0
tyrosine_466 M16	0	0	0	0
tyrosine_466 M17	0	0	0	0
tyrosine_466 M18	0	0	0	0
tyrosine_466 M19_Full_NC	0	0	0	0
				
histidine_440 M0	0	0	0	0.619667
histidine_440 M1	0	0	0	0.23877
histidine_440 M2	0	0	0	0.10764
histidine_440 M3	0	0	0	0.026585
histidine_440 M4	0.000404	0	0	0.006139
histidine_440 M5	0	0	0	0.001035
histidine_440 M6	0.000564	0	0.000496	0.000148
histidine_440 M7	0.004087	0.002248	0.002352	1.70E-05
histidine_440 M8	0	0	0	2.00E-06
histidine_440 M9	0.761598	0.764317	0.761034	0
histidine_440 M10	0.233349	0.233436	0.236118	0
histidine_440 M11	0	0	0	0
histidine_440 M12	0	0	0	0
histidine_440 M13	0	0	0	0
histidine_440 M14	0	0	0	0
histidine_440 M15	0	0	0	0
histidine_440 M16	0	0	0	0
histidine_440 M17	0	0	0	0
histidine_440 M18	0	0	0	0
histidine_440 M19	0	0	0	0
histidine_440 M20_Full_NC	0	0	0	0
				
tryptophan_302 M0	0.000503	0.000455	0.00053	0.722805
tryptophan_302 M1	0	0	0	0.188732
tryptophan_302 M2	0	0	0	0.073539
tryptophan_302 M3	0.667412	0.673547	0.671467	0.012522
tryptophan_302 M4	0.227857	0.224618	0.225339	0.002146
tryptophan_302 M5	0.084369	0.081953	0.083113	0.000237
tryptophan_302 M6	0.016541	0.016218	0.016345	2.00E-05
tryptophan_302 M7	0.002868	0.002755	0.002765	1.00E-06
tryptophan_302 M8_Full_NC	0.00045	0.000454	0.00044	0
				
glucose_344 M0	0.01052	0.010866	0.011406	0.739239
glucose_344 M1	0.02452	0.037608	0.024869	0.224552
glucose_344 M2	0.706772	0.696644	0.703417	0.032894
glucose_344 M3	0.166848	0.163902	0.166809	0.003094
glucose_344 M4	0.0748	0.074369	0.075842	0.00021
glucose_344 M5	0.011903	0.012085	0.012765	1.10E-05
glucose_344 M6	0.002853	0.002822	0.002882	0
glucose_344 M7	0	0	0	0
glucose_344 M8	0	0	0	0
glucose_344 M9	0	0	0	0
glucose_344 M10	0	0	0	0
glucose_344 M11	0	0	0	0
glucose_344 M12	0	0	0	0
glucose_344 M13_Full_NC	0.001784	0.001704	0.00201	0
				
glucose_273 M0	0	0	0	0.795865
glucose_273 M1	0	0	0	0.182687
glucose_273 M2	0	0	0	0.01999
glucose_273 M3	0	0	0	0.001387
glucose_273 M4	0	0	0	6.80E-05
glucose_273 M5	0	0	0	3.00E-06
glucose_273 M6	0	0	0	0
glucose_273 M7_Full_NC	0	0	0	0
