 	is01	is02	is03	predicted
Retention Indices				
HPA_261 M6_Full_NC	0	0	0	1.70E-05
				
valine_288 M0	0.000223	0	0.000261	0.730791
valine_288 M1	0	0	0	0.182745
valine_288 M2	0.001989	0.00197	0.002	0.072331
valine_288 M3	0.000961	0.000984	0.00094	0.011861
valine_288 M4	0.003155	0.001302	0.001377	0.002039
valine_288 M5	0.026656	0.040312	0.033862	0.000217
valine_288 M6	0.746302	0.737154	0.741953	1.80E-05
valine_288 M7	0.14625	0.144943	0.145517	1.00E-06
valine_288 M8	0.064568	0.063713	0.06411	0
valine_288 M9	0.008141	0.0081	0.008177	0
valine_288 M10	0.001487	0.001522	0.001543	0
valine_288 M11	0	0	0	0
valine_288 M12	0	0	0	0
valine_288 M13	0	0	0	0
valine_288 M14_Full_NC	0.000268	0	0.000258	0
				
valine_260 M0	0.001258	0.001241	0.001267	0.740494
valine_260 M1	0.000734	0.000715	0.000755	0.176881
valine_260 M2	0.000933	0.000962	0.00095	0.069786
valine_260 M3	0.004142	0.002963	0.003959	0.010856
valine_260 M4	0.012173	0.026192	0	0.001797
valine_260 M5	0.757155	0.747853	0.767366	0.000176
valine_260 M6	0.149321	0.146805	0.150411	1.20E-05
valine_260 M7	0.064595	0.063888	0.065542	1.00E-06
valine_260 M8	0.008099	0.007899	0.008201	0
valine_260 M9	0.00159	0.001482	0.00155	0
valine_260 M10	0	0	0	0
valine_260 M11	0	0	0	0
valine_260 M12_Full_NC	0	0	0	0
				
leucine_274 M0	0.000358	0.00032	0.000389	0.732402
leucine_274 M1	0.000403	0.000361	0.000365	0.183038
leucine_274 M2	0.000358	0.000422	0.000377	0.070958
leucine_274 M3	0.000552	0.000669	0.000573	0.0115
leucine_274 M4	0.006421	0.006235	0.006172	0.001896
leucine_274 M5	0.04224	0.044252	0.044443	0.000193
leucine_274 M6	0.731562	0.730122	0.727653	1.40E-05
leucine_274 M7	0.145015	0.1452	0.146543	1.00E-06
leucine_274 M8	0.062812	0.062494	0.062828	0
leucine_274 M9	0.008561	0.008445	0.008915	0
leucine_274 M10	0.001594	0.00148	0.001585	0
leucine_274 M11	0.000125	0	0.000155	0
leucine_274 M12	0	0	0	0
leucine_274 M13	0	0	0	0
leucine_274 M14_Full_NC	0	0	0	0
				
leucine_200 M0	0.000581	0.000687	0.001001	0.813915
leucine_200 M1	0.000189	0.000188	0.000302	0.143603
leucine_200 M2	0.00037	0.000387	0.00042	0.038334
leucine_200 M3	0.00058	0.000574	0	0.003929
leucine_200 M4	0.006422	0.00584	0.006095	0.000213
leucine_200 M5	0	0.046646	0	7.00E-06
leucine_200 M6	0.83849	0.802545	0.839887	0
leucine_200 M7	0.113649	0.1061	0.112948	0
leucine_200 M8	0.036947	0.034356	0.036461	0
leucine_200 M9	0.002576	0.002491	0.002698	0
leucine_200 M10	0.000195	0.000186	0.000188	0
leucine_200 M11	0	0	0	0
leucine_200 M12	0	0	0	0
leucine_200 M13	0	0	0	0
leucine_200 M14_Full_NC	0	0	0	0
				
isoleucine_274 M0	0.000314	0.000336	0.000329	0.732402
isoleucine_274 M1	0.000537	0.000562	0.000582	0.183038
isoleucine_274 M2	0	0.000348	0.00041	0.070958
isoleucine_274 M3	0.004396	0.004204	0.00437	0.0115
isoleucine_274 M4	0.005554	0.005503	0.005454	0.001896
isoleucine_274 M5	0	0	0	0.000193
isoleucine_274 M6	0.762016	0.763095	0.761698	1.40E-05
isoleucine_274 M7	0.15203	0.150951	0.151932	1.00E-06
isoleucine_274 M8	0.065378	0.065189	0.0655	0
isoleucine_274 M9	0.008286	0.008312	0.00826	0
isoleucine_274 M10	0.00149	0.001499	0.001466	0
isoleucine_274 M11	0	0	0	0
isoleucine_274 M12	0	0	0	0
isoleucine_274 M13	0	0	0	0
isoleucine_274 M14_Full_NC	0	0	0	0
				
isoleucine_200 M0	0.000221	0.000244	0.000255	0.813915
isoleucine_200 M1	0.00016	0.000179	0.000198	0.143603
isoleucine_200 M2	0.000472	0.00033	0.000414	0.038334
isoleucine_200 M3	0.000965	0.001171	0.00122	0.003929
isoleucine_200 M4	0.009658	0.009495	0.009509	0.000213
isoleucine_200 M5	0	0	0	7.00E-06
isoleucine_200 M6	0.835434	0.8391	0.8374	0
isoleucine_200 M7	0.112899	0.110697	0.111468	0
isoleucine_200 M8	0.037151	0.035958	0.036628	0
isoleucine_200 M9	0.0028	0.002644	0.002699	0
isoleucine_200 M10	0.00024	0.000184	0.00021	0
isoleucine_200 M11	0	0	0	0
isoleucine_200 M12	0	0	0	0
isoleucine_200 M13	0	0	0	0
isoleucine_200 M14_Full_NC	0	0	0	0
				
serine_390 M0	0.000694	0	0.000292	0.643309
serine_390 M1	0.001636	0.001634	0.001665	0.222351
serine_390 M2	0	0.000801	0	0.10386
serine_390 M3	0	0	0	0.023851
serine_390 M4	0.658625	0.659389	0.659705	0.005593
serine_390 M5	0.211161	0.211097	0.210939	0.000894
serine_390 M6	0.100643	0.100293	0.100412	0.000128
serine_390 M7	0.021277	0.020941	0.021127	1.40E-05
serine_390 M8	0.005132	0.005076	0.005077	1.00E-06
serine_390 M9	0.000832	0.000768	0.000783	0
serine_390 M10_Full_NC	0	0	0	0
				
serine_362 M0	0.000621	0.000592	0.000636	0.651851
serine_362 M1	0	0.001458	0	0.218005
serine_362 M2	0	0	0	0.101456
serine_362 M3	0.662279	0.663667	0.663265	0.022568
serine_362 M4	0.210875	0.209382	0.210695	0.005201
serine_362 M5	0.099656	0.098802	0.099035	0.000799
serine_362 M6	0.021017	0.020559	0.020744	0.00011
serine_362 M7	0.004822	0.004852	0.004902	1.10E-05
serine_362 M8_Full_NC	0.000731	0.000687	0.000724	1.00E-06
				
serine_302 M0	0.002103	0.002091	0.001988	0.722805
serine_302 M1	0.000584	0	0	0.188732
serine_302 M2	0.03416	0.04079	0.045918	0.073539
serine_302 M3	0.694452	0.690979	0.700008	0.012522
serine_302 M4	0.170084	0.167044	0.169588	0.002146
serine_302 M5	0.070746	0.069795	0.070431	0.000237
serine_302 M6	0.012222	0.011841	0.012067	2.00E-05
serine_302 M7	0.015648	0.01463	0	1.00E-06
serine_302 M8_Full_NC	0	0.00283	0	0
				
serine_288 M0	0.000508	0.000686	0.000493	0.724399
serine_288 M1	0.004542	0.004486	0.004513	0.189039
serine_288 M2	0	0	0	0.072184
serine_288 M3	0.730009	0.732771	0.731989	0.01215
serine_288 M4	0.180218	0.178522	0.179348	0.002001
serine_288 M5	0.07123	0.07032	0.070334	0.000212
serine_288 M6	0.01114	0.0109	0.011118	1.60E-05
serine_288 M7	0.002068	0.002066	0.002023	1.00E-06
serine_288 M8_Full_NC	0.000285	0.000249	0.000182	0
				
threonine_404 M0	0	0	0	0.636279
threonine_404 M1	0	0	0	0.22695
threonine_404 M2	0	0	0	0.105156
threonine_404 M3	0.006298	0.00475	0	0.024725
threonine_404 M4	0	0	0	0.005793
threonine_404 M5	0.663274	0.665603	0.668605	0.000946
threonine_404 M6	0.205666	0.207099	0.207563	0.000137
threonine_404 M7	0.098211	0.097306	0.098139	1.60E-05
threonine_404 M8	0.021428	0.020899	0.020703	1.00E-06
threonine_404 M9	0.005123	0.004343	0.00499	0
threonine_404 M10	0	0	0	0
threonine_404 M11_Full_NC	0	0	0	0
				
threonine_376 M0	0	0	0	0.644728
threonine_376 M1	0	0	0	0.222744
threonine_376 M2	0.005117	0.005387	0.004101	0.102731
threonine_376 M3	0.030793	0	0	0.02343
threonine_376 M4	0.682452	0.664047	0.669809	0.005391
threonine_376 M5	0.194209	0.193213	0.199399	0.000847
threonine_376 M6	0.087429	0.087249	0.090801	0.000117
threonine_376 M7	0	0.039441	0.027916	1.30E-05
threonine_376 M8	0	0.010664	0.007974	1.00E-06
threonine_376 M9	0	0	0	0
threonine_376 M10_Full_NC	0	0	0	0
				
methionine_320 M0	0.010209	0.010521	0.010507	0.694251
methionine_320 M1	0.003305	0.003505	0.003478	0.179089
methionine_320 M2	0.001522	0.00159	0.001555	0.101144
methionine_320 M3	0.000755	0.000505	0.00082	0.019577
methionine_320 M4	0	0	6.90E-05	0.0051
methionine_320 M5	0.037129	0.02998	0.034571	0.000725
methionine_320 M6	0.688731	0.694293	0.691405	0.000105
methionine_320 M7	0.144968	0.14568	0.145192	1.00E-05
methionine_320 M8	0.092355	0.092889	0.091516	1.00E-06
methionine_320 M9	0.01418	0.014438	0.014319	0
methionine_320 M10	0.004323	0.004288	0.004316	0
methionine_320 M11	0.000507	0.000511	0.000529	0
methionine_320 M12	0.000209	0	0	0
methionine_320 M13	0.000856	0.000911	0.000869	0
methionine_320 M14_Full_NC	0.000951	0.00089	0.000856	0
				
methionine_218 M0	0.007081	0.007026	0.007262	0.781762
methionine_218 M1	0.003772	0.003694	0.003935	0.135466
methionine_218 M2	0.005625	0.005556	0.005707	0.071384
methionine_218 M3	0.008232	0.008097	0.007864	0.009446
