	alanine_232	alanine_260	glycine_246	glycine_218	valine_288	valine_260	leucine_274	leucine_200	isoleucine_274	isoleucine_200	serine_390	serine_362	serine_302	serine_288	threonine_404	threonine_376	methionine_320	methionine_218	phenylalanine_234	phenylalanine_302	phenylalanine_308	phenylalanine_336	aspartate_418	aspartate_390	aspartate_302	glutamate_432	glutamate_330	asparagine_417	lysine_431	lysine_329	glutamine_431	arginine_442	tyrosine_302	tyrosine_466	histidine_440	tryptophan_302	glucose_273	lactate_233	lactate_261
IS-M3	0.7797606666666667	0.0	0.7668403333333332	0.149585	0.0009626666666666667	0.003694	0.000599	0.0003846666666666667	0.00433	0.0011186666666666665	0.0	0.6667863333333334	0.7029193333333333	0.7332700000000001	0.0037809999999999996	0.010264333333333334	0.0006976666666666667	0.008081999999999999	5.633333333333333e-05	0.7300676666666667	0.00015833333333333332	0.0	0.0016480000000000002	0.0	0.7333069999999999	0.00021033333333333331	0.005979666666666667	0.00013966666666666666	0.0	0.0	0.0007176666666666667	0.0	0.4009243333333334	0.0	0.0	0.6729919999999999	0.090897	0.007945333333333334	0.013543666666666667
IS-M4	0.15284466666666668	0.769343	0.149169	0.06562633333333333	0.0019483333333333334	0.012807666666666667	0.006286333333333334	0.006120333333333333	0.005512	0.009556333333333333	0.6631456666666666	0.211496	0.17079599999999998	0.17977433333333334	0.0	0.6762830000000001	2.3e-05	0.0	0.0001436666666666667	0.18431	0.00010966666666666666	0.0	0.0	0.6667073333333334	0.180378	0.0	0.0	0.0015793333333333334	0.0	0.0	0.0	0.0005736666666666667	0.4009243333333334	0.0012513333333333335	0.00013466666666666667	0.22667366666666666	0.6806893333333334	0.005593666666666667	0.004356
IS-M5	0.06739466666666666	0.150836	0.06682133333333333	0.008484666666666666	0.033667	0.7586273333333332	0.04371733333333334	0.015551666666666667	0.0	0.0	0.21231633333333333	0.09971999999999999	0.07111233333333333	0.07079033333333333	0.6834803333333334	0.19683566666666666	0.034121	0.7908223333333333	0.000186	0.07297066666666667	0.0003786666666666667	0.0002566666666666667	0.6636666666666667	0.20965599999999998	0.07276600000000001	0.0	0.7319253333333333	0.0	0.0	0.0	0.007123666666666667	0.00017966666666666665	0.16374466666666665	0.0008536666666666666	0.0	0.08341566666666667	0.13713566666666668	0.0	0.0
IS-M6	0.0	0.06725066666666667	0.008549333333333334	0.0	0.7430613333333334	0.14907499999999999	0.7309826666666667	0.8271313333333333	0.7634033333333333	0.8374879999999999	0.10104466666666667	0.020889333333333333	0.012178333333333333	0.011078333333333334	0.21225833333333333	0.08904966666666665	0.6961203333333333	0.10829566666666667	0.001045	0.011597999999999999	0.000127	0.0004783333333333334	0.21021233333333333	0.09959866666666667	0.011799666666666667	0.6628106666666667	0.17781633333333335	0.6600716666666667	0.023529333333333333	0.04394833333333333	0.0	0.000896	0.025722000000000005	0.0005	0.0003533333333333334	0.016421666666666668	0.062723	0.0	0.0
IS-M7	0.0	0.0	0.0	0.0	0.145817	0.06477466666666666	0.14582633333333334	0.11092	0.15186266666666667	0.11171166666666665	0.021239666666666667	0.0	0.0	0.0	0.10048066666666666	0.022668666666666667	0.14625566666666667	0.06913333333333332	0.007948333333333333	0.0	0.0010746666666666667	0.0013836666666666667	0.10169666666666666	0.021118666666666664	0.0	0.21208633333333335	0.07140866666666666	0.20970866666666668	0.058171	0.6620443333333333	0.6616986666666667	0.0015143333333333335	0.0	0.0016146666666666668	0.0028956666666666666	0.0	0.009591666666666667	0.0	0.0
IS-M8	0.0	0.0	0.0	0.0	0.06423933333333333	0.008079000000000001	0.06281466666666667	0.03592833333333333	0.06545266666666666	0.03658633333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.092873	0.007078666666666667	0.07903233333333333	0.0	0.06802566666666666	0.0029930000000000004	0.02152	0.0	0.0	0.10220766666666666	0.011440666666666667	0.100566	0.613156	0.17453133333333334	0.20866600000000002	0.0	0.0	0.0006649999999999999	0.0	0.0	0.0	0.0	0.0
IS-M9	0.0	0.0	0.0	0.0	0.008153	0.0	0.008654666666666666	0.0025889999999999997	0.008298333333333333	0.002714666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.014408666666666667	0.0	0.7721886666666666	0.0	0.6945419999999999	0.075575	0.0	0.0	0.0	0.02169666666666667	0.0	0.021129666666666668	0.195376	0.07157466666666666	0.09935633333333332	0.2730943333333334	0.0	0.0	0.7623163333333333	0.0	0.0	0.0	0.0
IS-M10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.097865	0.0	0.13810033333333335	0.705396	0.0	0.0	0.0	0.0	0.0	0.005051000000000001	0.09061166666666666	0.006140333333333334	0.020788666666666667	0.11212766666666667	0.0	0.6679769999999999	0.234301	0.0	0.0	0.0	0.0
IS-M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03239633333333333	0.0	0.05933233333333333	0.14082666666666666	0.0	0.0	0.0	0.0	0.0	0.0007533333333333333	0.019156000000000003	0.0	0.0	0.4161156666666667	0.0	0.20780433333333334	0.0	0.0	0.0	0.0	0.0
IS-M12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026343333333333336	0.0	0.007582666666666667	0.06222766666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12525366666666668	0.0	0.09856100000000001	0.0	0.0	0.0	0.0	0.0
IS-M13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005096333333333334	0.0	0.002277	0.008047333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05781766666666666	0.0	0.020772333333333334	0.0	0.0	0.0	0.0	0.0
IS-M14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028156666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012427666666666665	0.0	0.0	0.0	0.0	0.0	0.0	0.0
